PROD_ID|TIME_ID|PROMO_ID|CHANNEL_ID|UNIT_COST|UNIT_PRICE
13|10/01/1998|999|3|783.03|1232.16
13|20/01/1998|999|3|783.03|1232.16
14|03/02/1998|999|2|920.46|1164.05
14|10/02/1998|999|3|892.72|1124.52
14|26/02/1998|999|3|892.72|1159.99
15|16/01/1998|999|3|875.22|999.99
15|17/01/1998|999|3|890.98|1003.49
15|19/01/1998|999|3|875.22|1013.99
15|25/01/1998|999|4|860.26|1002.99
15|14/02/1998|999|4|863.64|999.99
17|05/01/1998|999|3|957.04|1550.99
18|03/01/1998|999|2|1163.97|1681.09
18|16/01/1998|999|4|1116.13|1448.76
18|17/01/1998|999|4|1100.73|1552.83
18|27/01/1998|999|3|1131.05|1702.99
18|20/02/1998|999|3|1155.97|1632.79
18|25/02/1998|999|3|1174.44|1735.04
18|03/03/1998|999|4|1122.74|1552.83
18|16/03/1998|999|3|1155.97|1674.39
19|16/01/1998|999|3|49.58|62.37
20|17/03/1998|999|3|532.46|608.39
21|07/01/1998|999|3|787.7|1067.73
21|13/01/1998|999|3|801.88|1056.68
21|13/01/1998|999|4|762.04|1067.73
21|23/01/1998|999|4|762.04|1075.95
21|07/02/1998|999|2|813.77|1075.95
21|12/02/1998|999|3|803.45|1052.99
22|07/01/1998|999|3|21.87|26.19
22|08/01/1998|999|3|21.87|26.61
22|17/01/1998|999|4|21.49|26.32
22|31/01/1998|999|3|21.87|26.56
22|25/03/1998|999|2|22.91|26.34
23|08/01/1998|999|3|19.13|24.08
23|14/03/1998|999|3|19.87|23.83
23|23/03/1998|999|3|19.87|23.83
24|07/01/1998|999|3|40.01|49.43
24|13/01/1998|999|2|40.53|49.43
24|23/01/1998|999|2|40.53|49.34
24|19/02/1998|999|2|41.34|49.43
24|17/03/1998|999|3|40.81|48.75
24|25/03/1998|999|3|40.81|49.43
24|26/03/1998|999|3|40.81|48.75
25|02/01/1998|999|3|100.07|126.99
25|10/01/1998|999|2|99.58|128.32
25|17/01/1998|999|4|96.94|128.32
25|23/01/1998|999|2|99.58|128.32
25|26/01/1998|999|4|96.94|128.32
25|02/03/1998|999|4|98.88|126.55
25|17/03/1998|999|2|101.57|126.55
26|19/01/1998|999|3|130.5|167.99
26|23/02/1998|999|3|135.51|168.58
26|25/03/1998|999|3|135.51|168.58
26|28/03/1998|999|3|133.11|170.34
27|13/01/1998|999|3|39.14|48.59
28|07/02/1998|999|3|177.48|216.99
28|17/03/1998|999|3|179.97|214.85
29|23/01/1998|999|2|451.2|546.4
29|10/02/1998|999|2|452.08|561.75
29|02/03/1998|999|3|446.36|561.75
30|03/01/1998|999|3|8.84|10.83
30|21/02/1998|999|3|9.02|10.83
30|03/03/1998|999|2|8.98|10.94
30|10/03/1998|999|3|8.86|10.79
30|12/03/1998|999|3|8.86|10.94
30|26/03/1998|999|4|8.74|10.79
31|20/01/1998|999|3|7.82|9.71
31|08/02/1998|999|3|7.98|9.85
31|13/02/1998|999|3|7.98|9.85
31|21/02/1998|999|3|8.13|9.74
33|03/02/1998|999|2|40.44|47.39
34|07/01/1998|999|3|35|43.56
34|23/03/1998|999|2|35.94|45.42
35|02/01/1998|999|2|44.31|54.45
35|07/01/1998|999|3|46.19|54.92
35|08/01/1998|999|3|43.76|53.7
35|13/01/1998|999|3|43.76|54.45
35|17/01/1998|999|2|44.31|54.45
35|30/01/1998|999|4|42.33|54.16
35|13/02/1998|999|2|44.93|57.79
35|14/02/1998|999|2|45.2|54.92
35|28/02/1998|999|2|44.93|56.99
35|12/03/1998|999|3|44.37|55.99
35|16/03/1998|999|2|45.84|54.38
36|28/01/1998|999|4|38.09|49.01
36|30/01/1998|999|2|39.88|49.01
37|07/02/1998|999|4|48.26|59.26
37|12/02/1998|999|3|51.83|59.08
37|15/02/1998|999|4|47.49|60.41
37|26/02/1998|999|3|48.8|63.57
37|28/02/1998|999|4|48.12|62.69
37|12/03/1998|999|3|48.8|61.59
37|30/03/1998|999|3|48.8|61.59
38|15/01/1998|999|3|26.61|32.35
38|24/01/1998|999|2|26.58|32.67
38|31/01/1998|999|4|25.39|32.67
38|13/02/1998|999|2|26.96|34.67
39|10/01/1998|999|2|31.02|37.59
39|13/01/1998|999|3|30.62|37.59
39|17/01/1998|999|3|30.62|38.12
39|23/01/1998|999|3|30.62|38.12
40|31/01/1998|999|2|39.88|47.45
40|01/02/1998|999|3|40.16|47.45
40|09/02/1998|999|4|39.55|46.95
40|15/02/1998|999|4|39.55|47.86
40|17/02/1998|999|4|38.85|48.36
40|22/02/1998|999|4|38.85|47.45
40|04/03/1998|999|4|39.55|47.86
40|19/03/1998|999|3|40.88|47.86
40|26/03/1998|999|4|38.85|48.36
41|07/01/1998|999|3|39.37|47.45
41|13/01/1998|999|2|39.88|47.45
41|29/01/1998|999|2|39.88|48.36
41|29/01/1998|999|3|39.37|48.36
41|31/01/1998|999|2|39.88|46.79
41|17/02/1998|999|2|40.68|47.45
41|24/02/1998|999|2|40.68|48.36
41|04/03/1998|999|4|39.55|47.86
41|09/03/1998|999|3|40.16|48.36
41|31/03/1998|999|4|38.85|48.36
42|09/01/1998|999|3|40.08|47.86
42|28/01/1998|999|3|39.37|46.79
42|28/01/1998|999|4|38.09|46.79
42|29/01/1998|999|2|39.88|48.36
42|21/02/1998|999|3|40.16|48.36
42|24/02/1998|999|2|40.68|47.69
43|12/01/1998|999|3|39.37|47.69
43|26/01/1998|999|3|39.37|48.36
43|30/01/1998|999|3|39.37|48.36
43|25/02/1998|999|2|40.68|48.36
