145|06/11/2000|999|3|12.56|13.81
145|16/11/2000|999|2|12.08|13.62
145|23/12/2000|999|4|11.11|12.72
146|16/10/2000|999|4|10.72|12.7
146|08/11/2000|999|3|11.37|12.88
146|03/12/2000|999|2|10.67|11.94
147|03/11/2000|999|2|7.42|8.58
20|17/11/2000|999|4|541.9|659.33
24|19/11/2000|999|4|41.8|48.53
25|07/10/2000|999|3|107.69|113.42
26|23/11/2000|999|3|150.06|148.49
26|02/12/2000|999|4|132.36|141.54
26|08/12/2000|999|2|140.26|141.54
29|21/10/2000|999|2|467.18|539.05
48|09/10/2000|999|2|11.18|12.76
121|14/12/2000|999|3|10.51|11.83
130|04/12/2000|999|2|84.15|89.61
141|03/12/2000|999|3|27.24|29.86
146|16/10/2000|999|3|10.84|12.88
13|16/12/2000|999|3|863.75|970.56
14|02/12/2000|999|3|955.77|1107.4
18|23/10/2000|999|3|1239.06|1566.01
21|13/10/2000|999|4|841.79|1057.05
22|12/11/2000|999|4|22.93|26.29
23|26/11/2000|999|3|22|23.4
24|03/10/2000|999|3|43.84|48.53
24|17/10/2000|999|2|42.89|48.53
24|13/12/2000|999|4|41.42|45.62
25|16/11/2000|999|2|110.62|113.42
25|17/11/2000|999|4|100.62|111.86
25|08/12/2000|999|3|107.99|106.61
26|02/10/2000|999|2|141.84|149.08
26|28/10/2000|999|2|139.87|150.57
26|28/12/2000|999|4|132.36|139.58
27|17/11/2000|999|3|45.02|47.21
27|28/11/2000|999|2|44.04|47.88
29|16/10/2000|999|4|467.65|539.05
29|23/10/2000|999|2|466.27|557.13
29|30/10/2000|999|4|467.65|546.59
31|18/12/2000|999|2|8.42|8.88
33|23/12/2000|999|2|42.07|43.81
35|26/11/2000|999|3|50.01|53.95
37|30/10/2000|999|4|51.74|59.34
38|25/11/2000|999|3|30.01|32.82
40|25/11/2000|999|3|45.02|48.78
40|17/12/2000|999|4|44.55|45.21
41|15/11/2000|999|3|45.02|48.78
43|04/12/2000|999|3|43|45.21
44|22/12/2000|999|3|43|45.21
47|31/10/2000|999|4|27.72|29.92
47|17/12/2000|999|2|27.61|28.41
113|12/12/2000|999|3|21.97|23.43
115|11/10/2000|999|2|8.53|9.64
116|05/11/2000|999|2|11.75|13
116|14/12/2000|999|3|11.45|12.22
118|14/10/2000|999|2|7.46|8.66
118|02/11/2000|999|2|7.83|8.66
118|09/12/2000|999|4|7.29|8.06
119|18/10/2000|999|3|6.66|7.47
120|10/10/2000|999|2|6.52|7.37
120|23/10/2000|999|3|6.66|8
120|31/10/2000|999|4|6.58|8
123|01/12/2000|999|3|47.77|53.78
123|18/12/2000|999|3|47.77|53.03
126|01/11/2000|999|3|29.54|29.65
127|01/11/2000|999|3|37.01|39.18
128|24/11/2000|999|4|25.44|29.65
129|31/10/2000|999|3|183.94|207.3
129|29/11/2000|999|3|193.09|204.44
130|04/12/2000|999|4|81.03|89.61
138|06/12/2000|999|4|61.76|70.67
140|18/11/2000|999|4|25.9|32.21
141|06/12/2000|999|3|27.24|30.28
142|16/10/2000|999|4|18.14|21.24
13|20/10/2000|999|2|840.46|1044.82
13|10/12/2000|999|3|863.75|970.56
13|14/12/2000|999|2|854|973.97
13|23/12/2000|999|4|790.72|968.53
13|24/12/2000|999|2|842.2|983.67
14|30/10/2000|999|2|932.55|1194.58
14|10/12/2000|999|3|955.77|1122.91
16|03/11/2000|999|3|300.16|307.47
16|23/11/2000|999|3|300.16|303.23
16|03/12/2000|999|3|292.47|289.02
17|10/12/2000|999|4|990.49|1162.55
18|11/12/2000|999|3|1242.51|1451.73
18|23/12/2000|999|3|1242.51|1472.05
19|20/12/2000|999|4|51.23|55.85
20|07/10/2000|999|2|559.53|593.99
20|07/10/2000|999|4|564.63|602.31
20|07/12/2000|999|4|536.99|628.45
20|18/12/2000|999|4|536.99|628.45
20|19/12/2000|999|2|561.09|566.17
20|19/12/2000|999|4|540.27|566.17
20|24/12/2000|999|2|562.18|619.77
20|30/12/2000|999|4|540.27|566.17
20|31/12/2000|999|3|586.08|628.45
21|17/10/2000|999|3|876.69|1042.46
21|30/10/2000|999|2|854.4|1072.04
21|14/12/2000|999|2|856.78|1007.72
21|19/12/2000|999|3|994.4|983.86
21|26/12/2000|999|4|810.4|1004.2
22|26/11/2000|999|4|22.93|26.29
22|23/12/2000|999|4|22.73|24.71
22|28/12/2000|999|4|22.85|24.99
23|10/10/2000|999|4|21.02|23.08
23|23/11/2000|999|4|20.3|23.4
24|08/10/2000|999|3|43.84|48.53
24|02/12/2000|999|2|43.01|45.62
25|08/10/2000|999|3|107.69|113.42
25|17/10/2000|999|3|107.69|111.86
25|28/11/2000|999|4|100.62|113.42
25|10/12/2000|999|2|105.67|105.15
25|23/12/2000|999|3|107.99|106.61
25|26/12/2000|999|3|107.99|105.15
26|07/10/2000|999|3|142.95|150.57
26|08/11/2000|999|2|146.83|148.49
26|14/11/2000|999|2|146.83|150.57
26|03/12/2000|999|3|143.34|141.54
26|08/12/2000|999|3|143.34|141.54
26|17/12/2000|999|2|140.26|141.54
27|13/12/2000|999|4|41.16|45.01
28|07/10/2000|999|3|190.6|210.6
28|23/10/2000|999|3|190.6|210.6
28|17/11/2000|999|2|195.79|207.69
28|13/12/2000|999|3|191.14|197.96
29|16/11/2000|999|2|489.46|557.13
29|21/11/2000|999|3|501.26|539.05
29|28/11/2000|999|3|500.27|557.13
29|07/12/2000|999|2|467.57|523.7
29|07/12/2000|999|4|447.48|506.71
29|13/12/2000|999|2|467.57|523.7
29|13/12/2000|999|4|447.48|513.79
29|17/12/2000|999|4|450.22|523.7
29|28/12/2000|999|2|468.48|513.79
30|19/10/2000|999|2|9.32|10.63
30|16/11/2000|999|3|9.99|10.63
30|25/11/2000|999|3|9.99|10.63
30|07/12/2000|999|2|9.34|9.99
