PROD_ID|CUST_ID|TIME_ID|CHANNEL_ID|PROMO_ID|QUANTITY_SOLD|AMOUNT_SOLD
13|987|10/01/1998|3|999|1|1232.16
13|1660|10/01/1998|3|999|1|1232.16
13|1762|10/01/1998|3|999|1|1232.16
13|1843|10/01/1998|3|999|1|1232.16
13|1948|10/01/1998|3|999|1|1232.16
13|2273|10/01/1998|3|999|1|1232.16
13|2380|10/01/1998|3|999|1|1232.16
13|2683|10/01/1998|3|999|1|1232.16
13|2865|10/01/1998|3|999|1|1232.16
13|4663|10/01/1998|3|999|1|1232.16
13|5203|10/01/1998|3|999|1|1232.16
13|5321|10/01/1998|3|999|1|1232.16
13|5590|10/01/1998|3|999|1|1232.16
13|6277|10/01/1998|3|999|1|1232.16
13|6859|10/01/1998|3|999|1|1232.16
13|8540|10/01/1998|3|999|1|1232.16
13|9076|10/01/1998|3|999|1|1232.16
13|12099|10/01/1998|3|999|1|1232.16
13|35834|10/01/1998|3|999|1|1232.16
13|524|20/01/1998|2|999|1|1205.99
13|188|20/01/1998|3|999|1|1232.16
13|361|20/01/1998|3|999|1|1232.16
13|531|20/01/1998|3|999|1|1232.16
13|659|20/01/1998|3|999|1|1232.16
13|848|20/01/1998|3|999|1|1232.16
13|949|20/01/1998|3|999|1|1232.16
13|1242|20/01/1998|3|999|1|1232.16
13|1291|20/01/1998|3|999|1|1232.16
13|1422|20/01/1998|3|999|1|1232.16
13|1485|20/01/1998|3|999|1|1232.16
13|1580|20/01/1998|3|999|1|1232.16
13|1943|20/01/1998|3|999|1|1232.16
13|1959|20/01/1998|3|999|1|1232.16
13|2021|20/01/1998|3|999|1|1232.16
13|2142|20/01/1998|3|999|1|1232.16
13|3014|20/01/1998|3|999|1|1232.16
13|3053|20/01/1998|3|999|1|1232.16
13|3261|20/01/1998|3|999|1|1232.16
13|3783|20/01/1998|3|999|1|1232.16
13|3947|20/01/1998|3|999|1|1232.16
13|4523|20/01/1998|3|999|1|1232.16
13|5813|20/01/1998|3|999|1|1232.16
13|6543|20/01/1998|3|999|1|1232.16
13|7076|20/01/1998|3|999|1|1232.16
13|7421|20/01/1998|3|999|1|1232.16
13|8747|20/01/1998|3|999|1|1232.16
13|8787|20/01/1998|3|999|1|1232.16
13|8836|20/01/1998|3|999|1|1232.16
13|9052|20/01/1998|3|999|1|1232.16
13|9680|20/01/1998|3|999|1|1232.16
13|9802|20/01/1998|3|999|1|1232.16
13|10502|20/01/1998|3|999|1|1232.16
13|10844|20/01/1998|3|999|1|1232.16
13|14053|20/01/1998|3|999|1|1232.16
13|14457|20/01/1998|3|999|1|1232.16
13|17011|20/01/1998|3|999|1|1232.16
13|17566|20/01/1998|3|999|1|1232.16
13|17633|20/01/1998|3|999|1|1232.16
13|2|30/01/1998|3|999|1|1232.16
13|254|30/01/1998|3|999|1|1232.16
13|429|30/01/1998|3|999|1|1232.16
13|1298|30/01/1998|3|999|1|1232.16
13|1383|30/01/1998|3|999|1|1232.16
13|1758|30/01/1998|3|999|1|1232.16
13|1786|30/01/1998|3|999|1|1232.16
13|1849|30/01/1998|3|999|1|1232.16
13|1949|30/01/1998|3|999|1|1232.16
13|2004|30/01/1998|3|999|1|1232.16
13|2079|30/01/1998|3|999|1|1232.16
13|2310|30/01/1998|3|999|1|1232.16
13|2383|30/01/1998|3|999|1|1232.16
13|2914|30/01/1998|3|999|1|1232.16
13|2994|30/01/1998|3|999|1|1232.16
13|3215|30/01/1998|3|999|1|1232.16
13|3429|30/01/1998|3|999|1|1232.16
13|3960|30/01/1998|3|999|1|1232.16
13|4203|30/01/1998|3|999|1|1232.16
13|4759|30/01/1998|3|999|1|1232.16
13|4942|30/01/1998|3|999|1|1232.16
13|5681|30/01/1998|3|999|1|1232.16
13|6279|30/01/1998|3|999|1|1232.16
13|6417|30/01/1998|3|999|1|1232.16
13|6430|30/01/1998|3|999|1|1232.16
13|6913|30/01/1998|3|999|1|1232.16
13|7086|30/01/1998|3|999|1|1232.16
13|7468|30/01/1998|3|999|1|1232.16
13|7873|30/01/1998|3|999|1|1232.16
13|7902|30/01/1998|3|999|1|1232.16
13|8236|30/01/1998|3|999|1|1232.16
13|8686|30/01/1998|3|999|1|1232.16
13|8935|30/01/1998|3|999|1|1232.16
13|9039|30/01/1998|3|999|1|1232.16
13|9317|30/01/1998|3|999|1|1232.16
13|10268|30/01/1998|3|999|1|1232.16
13|11131|30/01/1998|3|999|1|1232.16
13|11453|30/01/1998|3|999|1|1232.16
13|12783|30/01/1998|3|999|1|1232.16
13|15826|30/01/1998|3|999|1|1232.16
13|26631|30/01/1998|3|999|1|1232.16
13|343|10/02/1998|3|999|1|1237.31
13|966|10/02/1998|3|999|1|1237.31
13|1946|10/02/1998|3|999|1|1237.31
13|2113|10/02/1998|3|999|1|1237.31
13|2125|10/02/1998|3|999|1|1237.31
13|2530|10/02/1998|3|999|1|1237.31
13|2839|10/02/1998|3|999|1|1237.31
13|3454|10/02/1998|3|999|1|1237.31
13|3548|10/02/1998|3|999|1|1237.31
13|4700|10/02/1998|3|999|1|1237.31
13|5164|10/02/1998|3|999|1|1237.31
13|5475|10/02/1998|3|999|1|1237.31
13|5731|10/02/1998|3|999|1|1237.31
13|6955|10/02/1998|3|999|1|1237.31
13|7078|10/02/1998|3|999|1|1237.31
13|7995|10/02/1998|3|999|1|1237.31
13|10978|10/02/1998|3|999|1|1237.31
13|12824|10/02/1998|3|999|1|1237.31
13|15217|10/02/1998|3|999|1|1237.31
13|17081|10/02/1998|3|999|1|1237.31
13|26626|10/02/1998|3|999|1|1237.31
13|186|21/02/1998|3|999|1|1237.31
13|238|21/02/1998|3|999|1|1237.31
13|288|21/02/1998|3|999|1|1237.31
13|299|21/02/1998|3|999|1|1237.31
13|314|21/02/1998|3|999|1|1237.31
13|411|21/02/1998|3|999|1|1237.31
13|533|21/02/1998|3|999|1|1237.31
13|788|21/02/1998|3|999|1|1237.31
13|953|21/02/1998|3|999|1|1237.31
13|1155|21/02/1998|3|999|1|1237.31
13|1255|21/02/1998|3|999|1|1237.31
13|1462|21/02/1998|3|999|1|1237.31
13|1838|21/02/1998|3|999|1|1237.31
13|1998|21/02/1998|3|999|1|1237.31
13|2600|21/02/1998|3|999|1|1237.31
13|2760|21/02/1998|3|999|1|1237.31
13|2855|21/02/1998|3|999|1|1237.31
13|3087|21/02/1998|3|999|1|1237.31
13|3317|21/02/1998|3|999|1|1237.31
13|3643|21/02/1998|3|999|1|1237.31
13|3720|21/02/1998|3|999|1|1237.31
13|4230|21/02/1998|3|999|1|1237.31
13|4622|21/02/1998|3|999|1|1237.31
13|4881|21/02/1998|3|999|1|1237.31
13|4974|21/02/1998|3|999|1|1237.31
13|5696|21/02/1998|3|999|1|1237.31
13|5724|21/02/1998|3|999|1|1237.31
13|6612|21/02/1998|3|999|1|1237.31
13|6905|21/02/1998|3|999|1|1237.31
13|8345|21/02/1998|3|999|1|1237.31
13|9366|21/02/1998|3|999|1|1237.31
13|11407|21/02/1998|3|999|1|1237.31
13|11702|21/02/1998|3|999|1|1237.31
13|12539|21/02/1998|3|999|1|1237.31
13|12809|21/02/1998|3|999|1|1237.31
13|25244|21/02/1998|3|999|1|1237.31
13|28526|21/02/1998|3|999|1|1237.31
13|33722|21/02/1998|3|999|1|1237.31
13|40417|21/02/1998|3|999|1|1237.31
13|122|25/02/1998|3|999|1|1232.99
13|220|25/02/1998|3|999|1|1232.99
13|276|25/02/1998|3|999|1|1232.99
13|307|25/02/1998|3|999|1|1232.99
13|383|25/02/1998|3|999|1|1232.99
13|411|25/02/1998|3|999|1|1232.99
13|657|25/02/1998|3|999|1|1232.99
13|953|25/02/1998|3|999|1|1232.99
13|1154|25/02/1998|3|999|1|1232.99
13|1255|25/02/1998|3|999|1|1232.99
13|1455|25/02/1998|3|999|1|1232.99
13|1567|25/02/1998|3|999|1|1232.99
13|1837|25/02/1998|3|999|1|1232.99
13|2084|25/02/1998|3|999|1|1232.99
13|2211|25/02/1998|3|999|1|1232.99
13|2600|25/02/1998|3|999|1|1232.99
13|2760|25/02/1998|3|999|1|1232.99
13|2855|25/02/1998|3|999|1|1232.99
13|3316|25/02/1998|3|999|1|1232.99
13|3539|25/02/1998|3|999|1|1232.99
13|3720|25/02/1998|3|999|1|1232.99
13|4120|25/02/1998|3|999|1|1232.99
13|4621|25/02/1998|3|999|1|1232.99
13|4881|25/02/1998|3|999|1|1232.99
13|4973|25/02/1998|3|999|1|1232.99
13|5696|25/02/1998|3|999|1|1232.99
13|5723|25/02/1998|3|999|1|1232.99
13|6612|25/02/1998|3|999|1|1232.99
13|8324|25/02/1998|3|999|1|1232.99
13|9366|25/02/1998|3|999|1|1232.99
13|11403|25/02/1998|3|999|1|1232.99
13|11457|25/02/1998|3|999|1|1232.99
13|12119|25/02/1998|3|999|1|1232.99
13|12539|25/02/1998|3|999|1|1232.99
13|25244|25/02/1998|3|999|1|1232.99
13|28522|25/02/1998|3|999|1|1232.99
13|33717|25/02/1998|3|999|1|1232.99
13|33722|25/02/1998|3|999|1|1232.99
13|33748|25/02/1998|3|999|1|1232.99
13|945|10/03/1998|3|999|1|1232.99
13|987|10/03/1998|3|999|1|1232.99
13|1844|10/03/1998|3|999|1|1232.99
13|2128|10/03/1998|3|999|1|1232.99
13|2380|10/03/1998|3|999|1|1232.99
13|2423|10/03/1998|3|999|1|1232.99
13|2683|10/03/1998|3|999|1|1232.99
13|2869|10/03/1998|3|999|1|1232.99
13|5203|10/03/1998|3|999|1|1232.99
13|6277|10/03/1998|3|999|1|1232.99
13|9035|10/03/1998|3|999|1|1232.99
13|12099|10/03/1998|3|999|1|1232.99
13|35834|10/03/1998|3|999|1|1232.99
14|205|03/01/1998|3|999|1|1108.99
14|228|03/01/1998|3|999|1|1108.99
14|5378|03/01/1998|3|999|1|1108.99
14|7983|03/01/1998|3|999|1|1108.99
14|9728|03/01/1998|3|999|1|1108.99
14|26448|03/01/1998|3|999|1|1108.99
14|205|03/01/1998|4|999|1|1108.99
14|228|03/01/1998|4|999|1|1108.99
14|5378|03/01/1998|4|999|1|1108.99
14|2|05/01/1998|2|999|1|1259.99
14|429|05/01/1998|2|999|1|1259.99
14|2903|05/01/1998|2|999|1|1259.99
